From	To	Species	Gene Name
ENSG00000197857	ZNF44	Homo sapiens	zinc finger protein 44(ZNF44)
ENSG00000064195	DLX3	Homo sapiens	distal-less homeobox 3(DLX3)
ENSG00000080298	RFX3	Homo sapiens	regulatory factor X3(RFX3)
ENSG00000141905	nfic	Homo sapiens	nuclear factor I C(NFIC)
ENSG00000185002	RFX6	Homo sapiens	regulatory factor X6(RFX6)
ENSG00000169957	ZNF768	Homo sapiens	zinc finger protein 768(ZNF768)
ENSG00000109381	ELF2	Homo sapiens	E74 like ETS transcription factor 2(ELF2)
ENSG00000196597	ZNF782	Homo sapiens	zinc finger protein 782(ZNF782)
ENSG00000165702	GFI1B	Homo sapiens	growth factor independent 1B transcriptional repressor(GFI1B)
ENSG00000185610	DBX2	Homo sapiens	developing brain homeobox 2(DBX2)
ENSG00000196092	PAX5	Homo sapiens	paired box 5(PAX5)
ENSG00000170374	SP7	Homo sapiens	Sp7 transcription factor(SP7)
ENSG00000205922	ONECUT3	Homo sapiens	one cut homeobox 3(ONECUT3)
ENSG00000205927	OLIG2	Homo sapiens	oligodendrocyte lineage transcription factor 2(OLIG2)
ENSG00000170608	FOXA3	Homo sapiens	forkhead box A3(FOXA3)
ENSG00000170370	EMX2	Homo sapiens	empty spiracles homeobox 2(EMX2)
ENSG00000198517	MAFK	Homo sapiens	MAF bZIP transcription factor K(MAFK)
ENSG00000110851	prdm4	Homo sapiens	PR/SET domain 4(PRDM4)
ENSG00000169953	HSFY2	Homo sapiens	heat shock transcription factor, Y-linked 2(HSFY2)
ENSG00000054267	ARID4B	Homo sapiens	AT-rich interaction domain 4B(ARID4B)
ENSG00000128709	HOXD9	Homo sapiens	homeobox D9(HOXD9)
ENSG00000106261	ZKSCAN1	Homo sapiens	zinc finger with KRAB and SCAN domains 1(ZKSCAN1)
ENSG00000169951	ZNF764	Homo sapiens	zinc finger protein 764(ZNF764)
ENSG00000242802	AP5Z1	Homo sapiens	adaptor related protein complex 5 zeta 1 subunit(AP5Z1)
ENSG00000137834	SMAD6	Homo sapiens	SMAD family member 6(SMAD6)
ENSG00000100146	SOX10	Homo sapiens	SRY-box 10(SOX10)
ENSG00000065970	FOXJ2	Homo sapiens	forkhead box J2(FOXJ2)
ENSG00000148200	NR6A1	Homo sapiens	nuclear receptor subfamily 6 group A member 1(NR6A1)
ENSG00000196793	ZNF239	Homo sapiens	zinc finger protein 239(ZNF239)
ENSG00000109101	FOXN1	Homo sapiens	forkhead box N1(FOXN1)
ENSG00000198315	ZKSCAN8	Homo sapiens	zinc finger with KRAB and SCAN domains 8(ZKSCAN8)
ENSG00000141510	TP53	Homo sapiens	tumor protein p53(TP53)
ENSG00000128573	FOXP2	Homo sapiens	forkhead box P2(FOXP2)
ENSG00000197841	ZNF181	Homo sapiens	zinc finger protein 181(ZNF181)
ENSG00000170577	SIX2	Homo sapiens	SIX homeobox 2(SIX2)
ENSG00000065978	YBX1	Homo sapiens	Y-box binding protein 1(YBX1)
ENSG00000230797	YY2	Homo sapiens	YY2 transcription factor(YY2)
ENSG00000186350	RXRA	Homo sapiens	retinoid X receptor alpha(RXRA)
ENSG00000157429	ZNF19	Homo sapiens	zinc finger protein 19(ZNF19)
ENSG00000128713	HOXD11	Homo sapiens	homeobox D11(HOXD11)
ENSG00000128714	HOXD13	Homo sapiens	homeobox D13(HOXD13)
ENSG00000152926	ZNF117	Homo sapiens	zinc finger protein 117(ZNF117)
ENSG00000197128	ZNF772	Homo sapiens	zinc finger protein 772(ZNF772)
ENSG00000103343	ZNF174	Homo sapiens	zinc finger protein 174(ZNF174)
ENSG00000128710	HOXD10	Homo sapiens	homeobox D10(HOXD10)
ENSG00000076108	BAZ2A	Homo sapiens	bromodomain adjacent to zinc finger domain 2A(BAZ2A)
ENSG00000169016	E2F6	Homo sapiens	E2F transcription factor 6(E2F6)
ENSG00000167967	E4F1	Homo sapiens	E4F transcription factor 1(E4F1)
ENSG00000197123	ZNF679	Homo sapiens	zinc finger protein 679(ZNF679)
ENSG00000106038	EVX1	Homo sapiens	even-skipped homeobox 1(EVX1)
ENSG00000129194	SOX15	Homo sapiens	SRY-box 15(SOX15)
ENSG00000197124	ZNF682	Homo sapiens	zinc finger protein 682(ZNF682)
ENSG00000130751	NPAS1	Homo sapiens	neuronal PAS domain protein 1(NPAS1)
ENSG00000101216	GMEB2	Homo sapiens	glucocorticoid modulatory element binding protein 2(GMEB2)
ENSG00000005073	HOXA11	Homo sapiens	homeobox A11(HOXA11)
ENSG00000108001	EBF3	Homo sapiens	early B-cell factor 3(EBF3)
ENSG00000171443	ZNF524	Homo sapiens	zinc finger protein 524(ZNF524)
ENSG00000109132	PHOX2B	Homo sapiens	paired like homeobox 2b(PHOX2B)
ENSG00000106031	HOXA13	Homo sapiens	homeobox A13(HOXA13)
ENSG00000165066	NKX6-3	Homo sapiens	NK6 homeobox 3(NKX6-3)
ENSG00000101412	E2F1	Homo sapiens	E2F transcription factor 1(E2F1)
ENSG00000179627	ZBTB42	Homo sapiens	zinc finger and BTB domain containing 42(ZBTB42)
ENSG00000204644	ZFP57	Homo sapiens	ZFP57 zinc finger protein(ZFP57)
ENSG00000198300	PEG3	Homo sapiens	paternally expressed 3(PEG3)
ENSG00000245848	CEBPA	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)
ENSG00000057657	PRDM1	Homo sapiens	PR/SET domain 1(PRDM1)
ENSG00000196275	GTF2IRD2	Homo sapiens	GTF2I repeat domain containing 2(GTF2IRD2)
ENSG00000139352	ASCL1	Homo sapiens	achaete-scute family bHLH transcription factor 1(ASCL1)
ENSG00000147124	ZNF41	Homo sapiens	zinc finger protein 41(ZNF41)
ENSG00000126767	ELK1	Homo sapiens	ELK1, ETS transcription factor(ELK1)
ENSG00000171448	ZBTB26	Homo sapiens	zinc finger and BTB domain containing 26(ZBTB26)
ENSG00000126561	STAT5A	Homo sapiens	signal transducer and activator of transcription 5A(STAT5A)
ENSG00000197134	ZNF257	Homo sapiens	zinc finger protein 257(ZNF257)
ENSG00000235109	ZSCAN31	Homo sapiens	zinc finger and SCAN domain containing 31(ZSCAN31)
ENSG00000225614	ZNF469	Homo sapiens	zinc finger protein 469(ZNF469)
ENSG00000185811	IKZF1	Homo sapiens	IKAROS family zinc finger 1(IKZF1)
ENSG00000007866	TEAD3	Homo sapiens	TEA domain transcription factor 3(TEAD3)
ENSG00000153266	FEZF2	Homo sapiens	FEZ family zinc finger 2(FEZF2)
ENSG00000253831	ETV3L	Homo sapiens	ETS variant 3 like(ETV3L)
ENSG00000170631	ZNF16	Homo sapiens	zinc finger protein 16(ZNF16)
ENSG00000071655	MBD3	Homo sapiens	methyl-CpG binding domain protein 3(MBD3)
ENSG00000066422	ZBTB11	Homo sapiens	zinc finger and BTB domain containing 11(ZBTB11)
ENSG00000180318	ALX1	Homo sapiens	ALX homeobox 1(ALX1)
ENSG00000066827	ZFAT	Homo sapiens	zinc finger and AT-hook domain containing(ZFAT)
ENSG00000197863	ZNF790	Homo sapiens	zinc finger protein 790(ZNF790)
ENSG00000167182	SP2	Homo sapiens	Sp2 transcription factor(SP2)
ENSG00000186376	ZNF75D	Homo sapiens	zinc finger protein 75D(ZNF75D)
ENSG00000164379	FOXQ1	Homo sapiens	forkhead box Q1(FOXQ1)
ENSG00000196946	ZNF705A	Homo sapiens	zinc finger protein 705A(ZNF705A)
ENSG00000242852	ZNF709	Homo sapiens	zinc finger protein 709(ZNF709)
ENSG00000177888	ZBTB41	Homo sapiens	zinc finger and BTB domain containing 41(ZBTB41)
ENSG00000075407	ZNF37A	Homo sapiens	zinc finger protein 37A(ZNF37A)
ENSG00000141040	ZNF287	Homo sapiens	zinc finger protein 287(ZNF287)
ENSG00000170345	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
ENSG00000141956	PRDM15	Homo sapiens	PR/SET domain 15(PRDM15)
ENSG00000147117	ZNF157	Homo sapiens	zinc finger protein 157(ZNF157)
ENSG00000147118	ZNF182	Homo sapiens	zinc finger protein 182(ZNF182)
ENSG00000197808	ZNF461	Homo sapiens	zinc finger protein 461(ZNF461)
ENSG00000102034	ELF4	Homo sapiens	E74 like ETS transcription factor 4(ELF4)
ENSG00000177683	THAP5	Homo sapiens	THAP domain containing 5(THAP5)
ENSG00000185252	ZNF74	Homo sapiens	zinc finger protein 74(ZNF74)
ENSG00000141946	ZIM3	Homo sapiens	zinc finger imprinted 3(ZIM3)
ENSG00000171469	ZNF561	Homo sapiens	zinc finger protein 561(ZNF561)
ENSG00000136451	VEZF1	Homo sapiens	vascular endothelial zinc finger 1(VEZF1)
ENSG00000131849	ZNF132	Homo sapiens	zinc finger protein 132(ZNF132)
ENSG00000171466	ZNF562	Homo sapiens	zinc finger protein 562(ZNF562)
ENSG00000011451	WIZ	Homo sapiens	widely interspaced zinc finger motifs(WIZ)
ENSG00000177494	ZBED2	Homo sapiens	zinc finger BED-type containing 2(ZBED2)
ENSG00000251192	ZNF674	Homo sapiens	zinc finger protein 674(ZNF674)
ENSG00000131848	ZSCAN5A	Homo sapiens	zinc finger and SCAN domain containing 5A(ZSCAN5A)
ENSG00000125285	SOX21	Homo sapiens	SRY-box 21(SOX21)
ENSG00000158711	ELK4	Homo sapiens	ELK4, ETS transcription factor(ELK4)
ENSG00000081386	ZNF510	Homo sapiens	zinc finger protein 510(ZNF510)
ENSG00000198556	ZNF789	Homo sapiens	zinc finger protein 789(ZNF789)
ENSG00000131845	ZNF304	Homo sapiens	zinc finger protein 304(ZNF304)
ENSG00000198551	ZNF627	Homo sapiens	zinc finger protein 627(ZNF627)
ENSG00000105419	MEIS3	Homo sapiens	Meis homeobox 3(MEIS3)
ENSG00000172201	ID4	Homo sapiens	inhibitor of DNA binding 4, HLH protein(ID4)
ENSG00000182111	ZNF716	Homo sapiens	zinc finger protein 716(ZNF716)
ENSG00000198963	RORB	Homo sapiens	RAR related orphan receptor B(RORB)
ENSG00000116604	MEF2D	Homo sapiens	myocyte enhancer factor 2D(MEF2D)
ENSG00000061455	PRDM6	Homo sapiens	PR/SET domain 6(PRDM6)
ENSG00000183647	ZNF530	Homo sapiens	zinc finger protein 530(ZNF530)
ENSG00000177485	ZBTB33	Homo sapiens	zinc finger and BTB domain containing 33(ZBTB33)
ENSG00000121903	ZSCAN20	Homo sapiens	zinc finger and SCAN domain containing 20(ZSCAN20)
ENSG00000170653	ATF7	Homo sapiens	activating transcription factor 7(ATF7)
ENSG00000196967	ZNF585A	Homo sapiens	zinc finger protein 585A(ZNF585A)
ENSG00000037965	hoxc8	Homo sapiens	homeobox C8(HOXC8)
ENSG00000075426	FOSL2	Homo sapiens	FOS like 2, AP-1 transcription factor subunit(FOSL2)
ENSG00000137871	LOC145783	Homo sapiens	uncharacterized LOC145783(LOC145783)
ENSG00000171476	HOPX	Homo sapiens	HOP homeobox(HOPX)
ENSG00000102974	CTCF	Homo sapiens	CCCTC-binding factor(CTCF)
ENSG00000091010	POU4F3	Homo sapiens	POU class 4 homeobox 3(POU4F3)
ENSG00000178764	ZHX2	Homo sapiens	zinc fingers and homeoboxes 2(ZHX2)
ENSG00000169057	MECP2	Homo sapiens	methyl-CpG binding protein 2(MECP2)
ENSG00000197162	ZNF785	Homo sapiens	zinc finger protein 785(ZNF785)
ENSG00000169926	KLF13	Homo sapiens	Kruppel like factor 13(KLF13)
ENSG00000205143	ARID3C	Homo sapiens	AT-rich interaction domain 3C(ARID3C)
ENSG00000141027	NCOR1	Homo sapiens	nuclear receptor corepressor 1(NCOR1)
ENSG00000170365	SMAD1	Homo sapiens	SMAD family member 1(SMAD1)
ENSG00000172216	CEBPB	Homo sapiens	CCAAT/enhancer binding protein beta(CEBPB)
ENSG00000152977	ZIC1	Homo sapiens	Zic family member 1(ZIC1)
ENSG00000100987	vsx1	Homo sapiens	visual system homeobox 1(VSX1)
ENSG00000127903	ZNF835	Homo sapiens	zinc finger protein 835(ZNF835)
ENSG00000215612	HMX1	Homo sapiens	H6 family homeobox 1(HMX1)
ENSG00000163666	HESX1	Homo sapiens	HESX homeobox 1(HESX1)
ENSG00000215421	ZNF407	Homo sapiens	zinc finger protein 407(ZNF407)
ENSG00000153234	NR4A2	Homo sapiens	nuclear receptor subfamily 4 group A member 2(NR4A2)
ENSG00000179922	ZNF784	Homo sapiens	zinc finger protein 784(ZNF784)
ENSG00000181896	ZNF101	Homo sapiens	zinc finger protein 101(ZNF101)
ENSG00000182141	ZNF708	Homo sapiens	zinc finger protein 708(ZNF708)
ENSG00000170684	ZNF296	Homo sapiens	zinc finger protein 296(ZNF296)
ENSG00000181894	ZNF329	Homo sapiens	zinc finger protein 329(ZNF329)
ENSG00000141568	FOXK2	Homo sapiens	forkhead box K2(FOXK2)
ENSG00000139515	PDX1	Homo sapiens	pancreatic and duodenal homeobox 1(PDX1)
ENSG00000102984	ZNF821	Homo sapiens	zinc finger protein 821(ZNF821)
ENSG00000106006	HOXA6	Homo sapiens	homeobox A6(HOXA6)
ENSG00000106004	HOXA5	Homo sapiens	homeobox A5(HOXA5)
ENSG00000122691	TWIST1	Homo sapiens	twist family bHLH transcription factor 1(TWIST1)
ENSG00000147789	ZNF7	Homo sapiens	zinc finger protein 7(ZNF7)
ENSG00000112200	ZNF451	Homo sapiens	zinc finger protein 451(ZNF451)
ENSG00000198538	ZNF28	Homo sapiens	zinc finger protein 28(ZNF28)
ENSG00000156273	GRIK1-AS2	Homo sapiens	GRIK1 antisense RNA 2(GRIK1-AS2)
ENSG00000127081	ZNF484	Homo sapiens	zinc finger protein 484(ZNF484)
ENSG00000233608	TWIST2	Homo sapiens	twist family bHLH transcription factor 2(TWIST2)
ENSG00000186130	ZBTB6	Homo sapiens	zinc finger and BTB domain containing 6(ZBTB6)
ENSG00000198939	ZFP2	Homo sapiens	ZFP2 zinc finger protein(ZFP2)
ENSG00000185630	PBX1	Homo sapiens	PBX homeobox 1(PBX1)
ENSG00000176542	USF3	Homo sapiens	upstream transcription factor family member 3(USF3)
ENSG00000065029	ZNF76	Homo sapiens	zinc finger protein 76(ZNF76)
ENSG00000179930	ZNF648	Homo sapiens	zinc finger protein 648(ZNF648)
ENSG00000136866	ZFP37	Homo sapiens	ZFP37 zinc finger protein(ZFP37)
ENSG00000166823	MESP1	Homo sapiens	mesoderm posterior bHLH transcription factor 1(MESP1)
ENSG00000165030	NFIL3	Homo sapiens	nuclear factor, interleukin 3 regulated(NFIL3)
ENSG00000006377	DLX6	Homo sapiens	distal-less homeobox 6(DLX6)
ENSG00000169740	ZNF32	Homo sapiens	zinc finger protein 32(ZNF32)
ENSG00000162761	LMX1A	Homo sapiens	LIM homeobox transcription factor 1 alpha(LMX1A)
ENSG00000101665	SMAD7	Homo sapiens	SMAD family member 7(SMAD7)
ENSG00000108064	TFAM	Homo sapiens	transcription factor A, mitochondrial(TFAM)
ENSG00000135747	ZNF670-ZNF695	Homo sapiens	ZNF670-ZNF695 readthrough (NMD candidate)(ZNF670-ZNF695)
ENSG00000102908	NFAT5	Homo sapiens	nuclear factor of activated T-cells 5(NFAT5)
ENSG00000143867	OSR1	Homo sapiens	odd-skipped related transciption factor 1(OSR1)
ENSG00000196724	ZNF418	Homo sapiens	zinc finger protein 418(ZNF418)
ENSG00000120784	ZFP30	Homo sapiens	ZFP30 zinc finger protein(ZFP30)
ENSG00000188095	MESP2	Homo sapiens	mesoderm posterior bHLH transcription factor 2(MESP2)
ENSG00000172238	ATOH1	Homo sapiens	atonal bHLH transcription factor 1(ATOH1)
ENSG00000149922	TBX6	Homo sapiens	T-box 6(TBX6)
ENSG00000135164	DMTF1	Homo sapiens	cyclin D binding myb like transcription factor 1(DMTF1)
ENSG00000198795	ZNF521	Homo sapiens	zinc finger protein 521(ZNF521)
ENSG00000135547	HEY2	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 2(HEY2)
ENSG00000181827	RFX7	Homo sapiens	regulatory factor X7(RFX7)
ENSG00000135373	EHF	Homo sapiens	ETS homologous factor(EHF)
ENSG00000072364	AFF4	Homo sapiens	AF4/FMR2 family member 4(AFF4)
ENSG00000178573	MAF	Homo sapiens	MAF bZIP transcription factor(MAF)
ENSG00000152784	PRDM8	Homo sapiens	PR/SET domain 8(PRDM8)
ENSG00000244405	ETV5	Homo sapiens	ETS variant 5(ETV5)
ENSG00000112658	SRF	Homo sapiens	serum response factor(SRF)
ENSG00000116833	NR5A2	Homo sapiens	nuclear receptor subfamily 5 group A member 2(NR5A2)
ENSG00000170802	FOXN2	Homo sapiens	forkhead box N2(FOXN2)
ENSG00000029153	ARNTL2	Homo sapiens	aryl hydrocarbon receptor nuclear translocator like 2(ARNTL2)
ENSG00000182158	CREB3L2	Homo sapiens	cAMP responsive element binding protein 3 like 2(CREB3L2)
ENSG00000188868	ZNF563	Homo sapiens	zinc finger protein 563(ZNF563)
ENSG00000196705	ZNF431	Homo sapiens	zinc finger protein 431(ZNF431)
ENSG00000162367	TAL1	Homo sapiens	TAL bHLH transcription factor 1, erythroid differentiation factor(TAL1)
ENSG00000118156	znf541	Homo sapiens	zinc finger protein 541(ZNF541)
ENSG00000131408	NR1H2	Homo sapiens	nuclear receptor subfamily 1 group H member 2(NR1H2)
ENSG00000049618	ARID1B	Homo sapiens	AT-rich interaction domain 1B(ARID1B)
ENSG00000185697	MYBL1	Homo sapiens	MYB proto-oncogene like 1(MYBL1)
ENSG00000213676	ATF6B	Homo sapiens	activating transcription factor 6 beta(ATF6B)
ENSG00000172845	SP3	Homo sapiens	Sp3 transcription factor(SP3)
ENSG00000179456	zbtb18	Homo sapiens	zinc finger and BTB domain containing 18(ZBTB18)
ENSG00000171940	ZNF217	Homo sapiens	zinc finger protein 217(ZNF217)
ENSG00000165512	ZNF22	Homo sapiens	zinc finger protein 22(ZNF22)
ENSG00000135374	ELF5	Homo sapiens	E74 like ETS transcription factor 5(ELF5)
ENSG00000170100	ZNF778	Homo sapiens	zinc finger protein 778(ZNF778)
ENSG00000182568	SATB1	Homo sapiens	SATB homeobox 1(SATB1)
ENSG00000122034	GTF3A	Homo sapiens	general transcription factor IIIA(GTF3A)
ENSG00000105229	PIAS4	Homo sapiens	protein inhibitor of activated STAT 4(PIAS4)
ENSG00000174197	MGA	Homo sapiens	MGA, MAX dimerization protein(MGA)
ENSG00000087510	TFAP2C	Homo sapiens	transcription factor AP-2 gamma(TFAP2C)
ENSG00000117707	PROX1	Homo sapiens	prospero homeobox 1(PROX1)
ENSG00000143842	SOX13	Homo sapiens	SRY-box 13(SOX13)
ENSG00000163623	NKX6-1	Homo sapiens	NK6 homeobox 1(NKX6-1)
ENSG00000172059	KLF11	Homo sapiens	Kruppel like factor 11(KLF11)
ENSG00000176302	FOXR1	Homo sapiens	forkhead box R1(FOXR1)
ENSG00000064835	POU1F1	Homo sapiens	POU class 1 homeobox 1(POU1F1)
ENSG00000095574	IKZF5	Homo sapiens	IKAROS family zinc finger 5(IKZF5)
ENSG00000181444	ZNF467	Homo sapiens	zinc finger protein 467(ZNF467)
ENSG00000205189	ZBTB10	Homo sapiens	zinc finger and BTB domain containing 10(ZBTB10)
ENSG00000183434	TFDP3	Homo sapiens	transcription factor Dp family member 3(TFDP3)
ENSG00000181638	ZFP41	Homo sapiens	ZFP41 zinc finger protein(ZFP41)
ENSG00000134954	ETS1	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)
ENSG00000185669	SNAI3	Homo sapiens	snail family transcriptional repressor 3(SNAI3)
ENSG00000178187	ZNF454	Homo sapiens	zinc finger protein 454(ZNF454)
ENSG00000185668	POU3F1	Homo sapiens	POU class 3 homeobox 1(POU3F1)
ENSG00000102935	ZNF423	Homo sapiens	zinc finger protein 423(ZNF423)
ENSG00000155966	AFF2	Homo sapiens	AF4/FMR2 family member 2(AFF2)
ENSG00000101883	RHOXF1	Homo sapiens	Rhox homeobox family member 1(RHOXF1)
ENSG00000095951	hivep1	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 1(HIVEP1)
ENSG00000171970	ZNF57	Homo sapiens	zinc finger protein 57(ZNF57)
ENSG00000129654	FOXJ1	Homo sapiens	forkhead box J1(FOXJ1)
ENSG00000171956	FOXB1	Homo sapiens	forkhead box B1(FOXB1)
ENSG00000136826	KLF4	Homo sapiens	Kruppel like factor 4(KLF4)
ENSG00000177463	NR2C2	Homo sapiens	nuclear receptor subfamily 2 group C member 2(NR2C2)
ENSG00000120798	NR2C1	Homo sapiens	nuclear receptor subfamily 2 group C member 1(NR2C1)
ENSG00000067955	CBFB	Homo sapiens	core-binding factor beta subunit(CBFB)
ENSG00000162772	ATF3	Homo sapiens	activating transcription factor 3(ATF3)
ENSG00000169083	ar	Homo sapiens	androgen receptor(AR)
ENSG00000117713	ARID1A	Homo sapiens	AT-rich interaction domain 1A(ARID1A)
ENSG00000169297	nr0b1	Homo sapiens	nuclear receptor subfamily 0 group B member 1(NR0B1)
ENSG00000181449	SOX2	Homo sapiens	SRY-box 2(SOX2)
ENSG00000177468	OLIG3	Homo sapiens	oligodendrocyte transcription factor 3(OLIG3)
ENSG00000122859	NEUROG3	Homo sapiens	neurogenin 3(NEUROG3)
ENSG00000176946	THAP4	Homo sapiens	THAP domain containing 4(THAP4)
ENSG00000115844	DLX2	Homo sapiens	distal-less homeobox 2(DLX2)
ENSG00000016082	ISL1	Homo sapiens	ISL LIM homeobox 1(ISL1)
ENSG00000178175	ZNF366	Homo sapiens	zinc finger protein 366(ZNF366)
ENSG00000181450	ZNF678	Homo sapiens	zinc finger protein 678(ZNF678)
ENSG00000178177	LCORL	Homo sapiens	ligand dependent nuclear receptor corepressor like(LCORL)
ENSG00000083307	GRHL2	Homo sapiens	grainyhead like transcription factor 2(GRHL2)
ENSG00000115738	ID2	Homo sapiens	inhibitor of DNA binding 2, HLH protein(ID2)
ENSG00000170122	foxd4	Homo sapiens	forkhead box D4(FOXD4)
ENSG00000109320	NFKB1	Homo sapiens	nuclear factor kappa B subunit 1(NFKB1)
ENSG00000218891	ZNF579	Homo sapiens	zinc finger protein 579(ZNF579)
ENSG00000180787	ZFP3	Homo sapiens	ZFP3 zinc finger protein(ZFP3)
ENSG00000185670	zbtb3	Homo sapiens	zinc finger and BTB domain containing 3(ZBTB3)
ENSG00000172262	ZNF131	Homo sapiens	zinc finger protein 131(ZNF131)
ENSG00000204859	ZBTB48	Homo sapiens	zinc finger and BTB domain containing 48(ZBTB48)
ENSG00000028277	POU2F2	Homo sapiens	POU class 2 homeobox 2(POU2F2)
ENSG00000012504	NR1H4	Homo sapiens	nuclear receptor subfamily 1 group H member 4(NR1H4)
ENSG00000162599	NFIA	Homo sapiens	nuclear factor I A(NFIA)
ENSG00000181666	HKR1	Homo sapiens	HKR1, GLI-Kruppel zinc finger family member(HKR1)
ENSG00000196767	POU3F4	Homo sapiens	POU class 3 homeobox 4(POU3F4)
ENSG00000188816	HMX2	Homo sapiens	H6 family homeobox 2(HMX2)
ENSG00000117036	ETV3	Homo sapiens	ETS variant 3(ETV3)
ENSG00000108813	DLX4	Homo sapiens	distal-less homeobox 4(DLX4)
ENSG00000059728	MXD1	Homo sapiens	MAX dimerization protein 1(MXD1)
ENSG00000180535	BHLHA15	Homo sapiens	basic helix-loop-helix family member a15(BHLHA15)
ENSG00000010539	ZNF200	Homo sapiens	zinc finger protein 200(ZNF200)
ENSG00000162714	ZNF496	Homo sapiens	zinc finger protein 496(ZNF496)
ENSG00000172273	HINFP	Homo sapiens	histone H4 transcription factor(HINFP)
ENSG00000169981	ZNF35	Homo sapiens	zinc finger protein 35(ZNF35)
ENSG00000125482	TTF1	Homo sapiens	transcription termination factor 1(TTF1)
ENSG00000129173	E2F8	Homo sapiens	E2F transcription factor 8(E2F8)
ENSG00000148826	nkx6-2	Homo sapiens	NK6 homeobox 2(NKX6-2)
ENSG00000164104	HMGB2	Homo sapiens	high mobility group box 2(HMGB2)
ENSG00000172818	OVOL1	Homo sapiens	ovo like transcriptional repressor 1(OVOL1)
ENSG00000172819	rarg	Homo sapiens	retinoic acid receptor gamma(RARG)
ENSG00000060138	YBX3	Homo sapiens	Y-box binding protein 3(YBX3)
ENSG00000120094	HOXB1	Homo sapiens	homeobox B1(HOXB1)
ENSG00000164107	HAND2	Homo sapiens	heart and neural crest derivatives expressed 2(HAND2)
ENSG00000120093	HOXB3	Homo sapiens	homeobox B3(HOXB3)
ENSG00000132170	PPARG	Homo sapiens	peroxisome proliferator activated receptor gamma(PPARG)
ENSG00000163848	ZNF148	Homo sapiens	zinc finger protein 148(ZNF148)
ENSG00000085644	ZNF213	Homo sapiens	zinc finger protein 213(ZNF213)
ENSG00000172006	ZNF554	Homo sapiens	zinc finger protein 554(ZNF554)
ENSG00000214513	NOTO	Homo sapiens	notochord homeobox(NOTO)
ENSG00000140382	HMG20A	Homo sapiens	high mobility group 20A(HMG20A)
ENSG00000135903	PAX3	Homo sapiens	paired box 3(PAX3)
ENSG00000147180	ZNF711	Homo sapiens	zinc finger protein 711(ZNF711)
ENSG00000122877	EGR2	Homo sapiens	early growth response 2(EGR2)
ENSG00000196757	ZNF700	Homo sapiens	zinc finger protein 700(ZNF700)
ENSG00000145088	EAF2	Homo sapiens	ELL associated factor 2(EAF2)
ENSG00000172000	ZNF556	Homo sapiens	zinc finger protein 556(ZNF556)
ENSG00000110693	MIR6073	Homo sapiens	microRNA 6073(MIR6073)
ENSG00000253293	HOXA10	Homo sapiens	homeobox A10(HOXA10)
ENSG00000166188	ZNF319	Homo sapiens	zinc finger protein 319(ZNF319)
ENSG00000105497	ZNF175	Homo sapiens	zinc finger protein 175(ZNF175)
